episode_id,score
1,60.0
2,69.0
3,55.0
4,60.0
5,19.0
6,59.0
7,32.0
8,67.0
9,28.0
10,56.0
11,59.0
12,41.0
13,52.0
14,44.0
15,29.0
16,39.0
17,44.0
18,57.0
19,21.0
20,38.0
21,66.0
22,67.0
23,64.0
24,47.0
25,61.0
26,65.0
27,83.0
28,54.0
29,76.0
30,59.0
31,26.0
32,23.0
33,59.0
34,40.0
35,37.0
36,70.0
37,66.0
38,25.0
39,41.0
40,26.0
41,54.0
42,68.0
43,65.0
44,33.0
45,37.0
46,33.0
47,88.0
48,57.0
49,65.0
50,77.0
51,65.0
52,43.0
53,78.0
54,29.0
55,39.0
56,36.0
57,50.0
58,73.0
59,37.0
60,33.0
61,32.0
62,58.0
63,28.0
64,47.0
65,60.0
66,31.0
67,60.0
68,42.0
69,30.0
70,17.0
71,80.0
72,43.0
73,40.0
74,39.0
75,65.0
76,36.0
77,78.0
78,72.0
79,50.0
80,87.0
81,41.0
82,42.0
83,65.0
84,71.0
85,44.0
86,53.0
87,59.0
88,23.0
89,64.0
90,56.0
91,64.0
92,35.0
93,55.0
94,63.0
95,55.0
96,57.0
97,32.0
98,70.0
99,57.0
100,29.0
101,21.0
102,63.0
103,27.0
104,54.0
105,39.0
106,48.0
107,77.0
108,62.0
109,72.0
110,52.0
111,43.0
112,49.0
113,59.0
114,40.0
115,43.0
116,37.0
117,40.0
118,46.0
119,60.0
120,50.0
121,55.0
122,55.0
123,38.0
124,68.0
125,37.0
126,74.0
127,66.0
128,36.0
129,56.0
130,76.0
131,96.0
132,42.0
133,30.0
134,39.0
135,67.0
136,35.0
137,66.0
138,45.0
139,56.0
140,56.0
141,38.0
142,38.0
143,37.0
144,72.0
145,34.0
146,68.0
147,66.0
148,29.0
149,64.0
150,44.0
151,83.0
152,55.0
153,49.0
154,39.0
155,50.0
156,29.0
157,46.0
158,73.0
159,76.0
160,55.0
161,72.0
162,24.0
163,71.0
164,45.0
165,73.0
166,46.0
167,59.0
168,51.0
169,66.0
170,50.0
171,24.0
172,68.0
173,56.0
174,61.0
175,28.0
176,41.0
177,49.0
178,73.0
179,43.0
180,62.0
181,60.0
182,72.0
183,75.0
184,59.0
185,55.0
186,42.0
187,41.0
188,31.0
189,56.0
190,33.0
191,41.0
192,70.0
193,60.0
194,67.0
195,42.0
196,23.0
197,59.0
198,50.0
199,70.0
200,17.0
201,21.0
202,63.0
203,58.0
204,31.0
205,43.0
206,65.0
207,64.0
208,62.0
209,43.0
210,34.0
211,25.0
212,62.0
213,74.0
214,58.0
215,31.0
216,56.0
217,81.0
218,19.0
219,63.0
220,45.0
221,66.0
222,20.0
223,50.0
224,50.0
225,31.0
226,86.0
227,50.0
228,47.0
229,51.0
230,63.0
231,25.0
232,79.0
233,61.0
234,54.0
235,52.0
236,61.0
237,68.0
238,24.0
239,44.0
