episode_id,score
1,26.372269180545675
2,-90.8767630632086
3,-43.25508612167992
4,-287.2632149670107
5,-34.859142146707896
6,-114.72608559289694
7,-135.39313570843697
8,-12.988810419616886
9,-103.27138001175979
10,-23.631526986355478
11,29.076598404841945
12,1.5234240645414667
13,-125.72762958355348
14,-91.26287395878556
15,-80.72981114157942
16,-272.3774630704022
17,-279.419082240553
18,-262.6746695092683
19,-15.38796606839452
20,-120.33978716212845
21,-44.29059937995697
22,6.8572189455987305
23,-207.0290354846495
24,-246.6355431690759
25,-209.00637124927002
26,-57.163335292870705
27,-23.66133167602518
28,-22.46015838037387
29,-187.02633066855586
30,-73.87765493251027
31,-246.9105159192268
32,-23.26283832350587
33,-63.032685009314726
34,-44.90307235052095
35,-179.98395433791632
36,-101.35950885407273
37,-129.76227882439233
38,-57.92408559713069
39,-13.232379177933941
40,15.374201687773475
41,-106.34056845112688
42,-185.47045246090687
43,-242.6574661063171
44,-150.29861545086095
45,-99.96111756204449
46,-133.97847699480786
47,-70.66145655132289
48,-93.30418460840308
49,-38.51561431359049
50,-42.59686543471694
51,-123.49709315829979
52,-13.240574891523295
53,-46.26065671035244
54,-167.11744743482694
55,-81.16747815018418
56,-12.345902518218084
57,-54.0104168719506
58,-24.452027171799223
59,-32.753597573644896
60,-25.71321711878523
61,6.037090524505296
62,-202.54719699749816
63,-72.11007631289247
64,-117.08723243717876
65,-168.09873451067477
66,-72.6790745520239
67,10.45521337897078
68,-81.31663560647962
69,-186.5434987514515
70,-97.19094453236724
71,-41.87429648503397
72,-43.08686228587172
73,-28.51710886787713
74,-41.235618341789305
75,-54.90025384798708
76,-112.61057954024744
77,-265.874790204134
78,-240.39514330181999
79,-50.66349315402387
80,-248.33116459168744
81,17.46792598858505
82,0.7908856640190646
83,-42.398869073446896
84,-36.78990567916057
85,-27.22797942885341
86,-75.44284732041037
87,-241.87368371546307
88,-139.65251075234357
89,-272.26976686694326
90,-150.9555956101425
91,-58.64569480944622
92,-140.58780516983387
93,-117.47714523463256
94,-36.059809143748964
95,-70.18402495078348
96,25.89242551959717
97,-38.00320289932831
98,-195.6712386919806
99,-174.87172092870026
100,-69.26728013487288
101,-148.2364601544902
102,-33.62992873830764
103,-59.6318266446167
104,-176.10975191160847
105,-138.48452129720422
106,-62.85717696897443
107,-67.38469630763554
108,-29.88043707486079
109,-24.09342260496764
110,11.598173069731681
111,-115.67055437864848
112,-15.114516878442235
113,-79.30368712043752
114,-9.043127287681449
115,-109.01267992920775
116,-56.34658817938661
117,-48.24232029646207
118,-61.7333200302315
119,-196.85240642014028
120,27.95242009997631
121,-37.00911328066024
122,-150.70276743395317
123,-75.57120334561039
124,-139.32421145164665
125,-48.55622257335822
126,-72.00671817926815
127,-114.1917241029263
128,-123.1681114815221
129,11.218621676982936
130,-59.80696110797667
131,-101.97050598358561
132,-2.6182273077352787
133,-72.76044044956062
134,-66.34992836268304
135,-108.64450435450654
136,15.277503552427007
137,-275.9863697113844
138,-49.71627494930389
139,-86.98988927926473
140,-154.53961470489875
141,-36.29324199549935
142,-102.37143166217783
143,-232.69056826175748
144,-57.138150671270914
145,-214.63880866804817
146,-12.575956331219775
147,-1.6812249073739625
